,X,y
0,0,26.440000534057617
1,1,27.09000015258789
2,2,26.989999771118164
3,3,27.559999465942383
4,4,27.360000610351562
5,5,27.239999771118164
6,6,26.850000381469727
7,7,27.549999237060547
8,8,27.600000381469727
9,9,27.670000076293945
10,10,27.040000915527344
11,11,27.5
12,12,26.829999923706055
13,13,27.15999984741211
14,14,27.559999465942383
15,15,27.559999465942383
16,16,27.649999618530273
17,17,27.920000076293945
18,18,27.56999969482422
19,19,27.25
20,20,27.75
21,21,27.299999237060547
22,22,27.709999084472656
23,23,27.200000762939453
24,24,27.100000381469727
25,25,27.149999618530273
26,26,27.229999542236328
27,27,27.639999389648438
28,28,27.770000457763672
29,29,27.770000457763672
30,30,27.280000686645508
31,31,26.979999542236328
32,32,27.170000076293945
33,33,27.040000915527344
34,34,26.829999923706055
35,35,26.149999618530273
36,36,25.059999465942383
37,37,25.899999618530273
38,38,24.920000076293945
39,39,23.389999389648438
40,40,23.100000381469727
41,41,23.440000534057617
42,42,22.469999313354492
43,43,22.559999465942383
44,44,21.969999313354492
45,45,22.299999237060547
46,46,21.979999542236328
47,47,21.399999618530273
48,48,21.389999389648438
49,49,20.799999237060547
50,50,20.3799991607666
51,51,20.489999771118164
52,52,20.600000381469727
53,53,20.56999969482422
54,54,20.510000228881836
55,55,21.760000228881836
56,56,21.18000030517578
57,57,20.600000381469727
58,58,20.899999618530273
59,59,20.979999542236328
60,60,21.1299991607666
61,61,21.110000610351562
62,62,21.799999237060547
63,63,21.579999923706055
64,64,21.40999984741211
65,65,21.889999389648438
66,66,21.869999885559082
67,67,21.850000381469727
68,68,22.549999237060547
69,69,22.350000381469727
70,70,23.100000381469727
71,71,23.559999465942383
72,72,23.479999542236328
73,73,23.700000762939453
74,74,24.479999542236328
75,75,24.0
76,76,23.770000457763672
77,77,23.420000076293945
78,78,23.93000030517578
79,79,24.1299991607666
80,80,23.440000534057617
81,81,23.940000534057617
82,82,23.520000457763672
83,83,23.700000762939453
84,84,23.8700008392334
85,85,24.0
86,86,23.950000762939453
87,87,23.6200008392334
88,88,23.299999237060547
89,89,23.3700008392334
90,90,22.850000381469727
91,91,22.925000190734863
92,92,23.0
93,93,22.780000686645508
94,94,22.770000457763672
95,95,22.700000762939453
96,96,22.670000076293945
97,97,23.239999771118164
98,98,23.799999237060547
99,99,23.850000381469727
100,100,21.829999923706055
101,101,21.1299991607666
102,102,20.690000534057617
103,103,20.8700008392334
104,104,21.469999313354492
105,105,21.290000915527344
106,106,21.18000030517578
107,107,21.899999618530273
108,108,22.0
109,109,22.0
110,110,21.75
111,111,22.200000762939453
112,112,22.149999618530273
113,113,21.579999923706055
114,114,21.889999389648438
115,115,21.969999313354492
116,116,21.780000686645508
117,117,21.940000534057617
118,118,22.34000015258789
119,119,22.190000534057617
120,120,22.420000076293945
121,121,22.649999618530273
122,122,22.649999618530273
123,123,22.31999969482422
124,124,22.290000915527344
125,125,22.3700008392334
126,126,21.93000030517578
127,127,21.540000915527344
128,128,21.690000534057617
129,129,21.450000762939453
130,130,20.850000381469727
131,131,20.510000228881836
132,132,20.049999237060547
133,133,19.56999969482422
134,134,19.5
135,135,19.799999237060547
136,136,19.8799991607666
137,137,19.799999237060547
138,138,19.90999984741211
139,139,19.899999618530273
140,140,19.440000534057617
141,141,19.3700008392334
142,142,20.209999084472656
143,143,19.479999542236328
144,144,19.350000381469727
145,145,19.299999237060547
146,146,19.299999237060547
147,147,19.5
148,148,19.950000762939453
149,149,19.600000381469727
150,150,19.579999923706055
151,151,19.239999771118164
152,152,18.600000381469727
153,153,18.899999618530273
154,154,18.649999618530273
155,155,18.350000381469727
156,156,18.079999923706055
157,157,18.670000076293945
158,158,18.559999465942383
159,159,18.229999542236328
160,160,18.260000228881836
161,161,18.46500015258789
162,162,18.670000076293945
163,163,18.700000762939453
164,164,18.31999969482422
165,165,18.18000030517578
166,166,18.299999237060547
167,167,18.770000457763672
168,168,18.8700008392334
169,169,19.149999618530273
170,170,19.200000762939453
171,171,18.950000762939453
172,172,18.700000762939453
173,173,18.75
174,174,19.049999237060547
175,175,19.489999771118164
176,176,19.31999969482422
177,177,18.93000030517578
178,178,19.015000343322754
179,179,19.100000381469727
180,180,18.920000076293945
181,181,18.920000076293945
182,182,19.469999313354492
183,183,19.100000381469727
184,184,19.290000915527344
185,185,20.1200008392334
186,186,20.25
187,187,20.139999389648438
188,188,20.610000610351562
189,189,20.570000648498535
190,190,20.530000686645508
191,191,20.1299991607666
192,192,20.309999465942383
193,193,19.690000534057617
194,194,19.790000915527344
195,195,19.450000762939453
196,196,19.149999618530273
197,197,19.81999969482422
198,198,19.600000381469727
199,199,19.360000610351562
200,200,19.0
201,201,18.65999984741211
202,202,18.299999237060547
203,203,18.200000762939453
204,204,18.0
205,205,18.700000762939453
206,206,18.5
207,207,19.059999465942383
208,208,19.18000030517578
209,209,19.0
210,210,18.530000686645508
211,211,18.049999237060547
212,212,18.100000381469727
213,213,17.8700008392334
214,214,18.079999923706055
215,215,18.5
216,216,18.520000457763672
217,217,18.350000381469727
218,218,18.360000610351562
219,219,17.979999542236328
220,220,17.850000381469727
221,221,18.0
222,222,18.09000015258789
223,223,17.600000381469727
224,224,17.68000030517578
225,225,17.90999984741211
226,226,18.5
227,227,19.18000030517578
228,228,19.610000610351562
229,229,19.559999465942383
230,230,19.8799991607666
231,231,19.5
232,232,19.1200008392334
233,233,19.399999618530273
234,234,19.25
235,235,19.290000915527344
236,236,18.920000076293945
237,237,18.829999923706055
238,238,18.5
239,239,18.700000762939453
240,240,19.049999237060547
241,241,18.989999771118164
242,242,19.18000030517578
243,243,19.920000076293945
244,244,21.0
245,245,21.950000762939453
246,246,22.40999984741211
247,247,22.5
248,248,22.989999771118164
249,249,23.579999923706055
250,250,23.219999313354492
251,251,22.700000762939453
252,252,22.5
253,253,23.0
254,254,22.540000915527344
255,255,23.299999237060547
256,256,23.0
257,257,22.459999084472656
258,258,22.510000228881836
259,259,22.079999923706055
260,260,22.149999618530273
